candidate_id,repo_url,candidate_commit_sha,candidate_class,target_test_present,environment_file_present,command_collects_target,command_fails_pre_patch,external_network_required,traceback_candidate_source_file_count,traceback_framework_file_count,target_command_width,dependency_surface_size,source_context_file_count,setup_complexity_score,semantic_failure_capture_available,issue_reproduction_steps_available,issue_contains_solution_hint,repairability_score,escape_boundary_risk,admission_decision,decision_reason
native_akaihola_darker_bd28cdc3,https://github.com/akaihola/darker,bd28cdc3e1a56f2d2a6e25d6ca75a7cc41e71f75,native_replay_candidate,True,True,True,True,False,0,0,single_file,61,0,1,True,False,False,-9,bounded_or_admissible,rejected_no_candidate_source_interlock,no_candidate_source_interlock_invariant
native_akaihola_darker_6f9ae295,https://github.com/akaihola/darker,6f9ae29512433d960be38f3bfffc23c848691d6f,native_replay_candidate,True,True,True,True,False,0,0,single_file,62,0,1,True,False,False,-9,bounded_or_admissible,rejected_no_candidate_source_interlock,no_candidate_source_interlock_invariant
native_akaihola_darker_6ecafca0,https://github.com/akaihola/darker,6ecafca023a354fe7d9539d1d20bf10391bdb24a,native_replay_candidate,True,True,False,False,False,0,0,unknown,4,0,1,False,False,False,-2,bounded_or_admissible,rejected_other,resolved_commit_target_test_not_executed
native_pytest_rerunfailures_f095a517,https://github.com/pytest-dev/pytest-rerunfailures,f095a517c8d0550df0cb42b7ef3f96452ce68f05,native_replay_candidate,True,True,True,False,False,0,0,unknown,2,0,1,False,False,False,-7,bounded_or_admissible,rejected_other,resolved_commit_pre_repair_passed
native_pytest_rerunfailures_d17f3be1,https://github.com/pytest-dev/pytest-rerunfailures,d17f3be1c8cc257c29cd7d7e815d3c52867b1276,native_replay_candidate,True,True,True,False,False,0,0,unknown,3,0,1,False,False,False,-7,bounded_or_admissible,rejected_other,resolved_commit_pre_repair_passed
